Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_MtCO2,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Yield_kg_per_ha,GDD,Cumulative_Rainfall,Days_Into_Season,pH_Temperature_Interaction,Nitrogen_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North Central,Cassava,2000,1,27.083214285714284,761.3875,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,0.0,0.0,761.3875,0,160.56477040816327,63510.594464285714,0,0,0,0,1.2907288719555132,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,2,28.1812904970676,575.5960552507171,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,0.0,0.0,1336.983555250717,0,167.0747936611865,48012.9338086991,0,0,0,0,1.2907288719293069,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,3,28.583214285714284,507.5916666666667,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,0.0,0.0,1844.5752219173837,0,169.4576275510204,42340.39630952381,0,0,0,0,1.290728871914919,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,4,28.1812904970676,575.5960552507172,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,2.1208358854658127,18.1812904970676,2420.171277168101,0,167.0747936611865,48012.93380869911,1,0,0,0,1.2907288719293069,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,5,27.083214285714284,761.3875,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,2.1208358854658127,17.083214285714284,3181.558777168101,30,160.56477040816327,63510.594464285714,1,1,0,0,1.2907288719555132,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,6,25.583214285714284,1015.1833333333334,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,2.1208358854658127,15.583214285714284,4196.742110501435,60,151.67191326530613,84680.79261904761,1,1,0,0,1.290728871975811,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,7,24.083214285714284,1268.9791666666667,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,2.1208358854658127,14.083214285714284,5465.721277168101,90,142.77905612244896,105850.99077380952,1,1,0,0,1.2907288719879892,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,8,22.985138074360968,1454.7706114159494,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,2.1208358854658127,12.985138074360968,6920.491888584051,120,136.26903286942576,121348.65142939611,1,0,0,0,1.29072887199421,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,9,22.583214285714284,1522.775,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,2.1208358854658127,12.583214285714284,8443.26688858405,150,133.88619897959182,127021.18892857143,1,0,0,0,1.2907288719961079,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,10,22.985138074360968,1454.7706114159496,65.86309523809524,96.831,5.928571428571429,83.41428571428571,1.3571428571428572,0.13857142857142857,0.0,0.0,9898.0375,180,136.26903286942576,121348.65142939614,0,0,0,0,1.2907288719942107,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
