Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_MtCO2,Soil_Moisture_Annual_Mean,Soil_Moisture_GrowSeason,Soil_Moisture_DrySeason,Yield_kg_per_ha,Soil_Moisture_m3m3,GDD,Cumulative_Rainfall,Days_Into_Season,SoilMoisture_Temp_Interaction,SoilMoisture_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Soil_Moisture_Anomaly,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Soil_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North Central,Cassava,2000,1,27.083214285714284,761.3875,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,0.0,0.1131938205128205,0.0,761.3875,0,3.065652496767399,86.18436001570512,0,0,0,0,1.2907288719555132,0,1,-0.4290716789117495,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,2,28.1812904970676,575.5960552507171,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,0.0,0.1013988390804597,0.0,1336.983555250717,0,2.8575501401918455,58.36477178171485,0,0,0,0,1.2907288719293069,0,1,-1.0421906760450534,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,3,28.583214285714284,507.5916666666667,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,0.0,0.1257806509433962,0.0,1844.5752219173837,0,3.595215298911724,63.845210246776716,0,0,0,0,1.290728871914919,0,1,-1.2170935272371002,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,4,28.1812904970676,575.5960552507172,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,2120.835885465812,0.1803172962962963,545.438714912028,2420.171277168101,0,5.081574108571738,103.78992444162292,1,0,0,0,1.2907288719293069,0,1,-0.9619002660482695,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,5,27.083214285714284,761.3875,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,2120.835885465812,0.2323889324324324,512.4964285714285,3181.558777168101,30,6.2938392546959445,176.93802829239863,1,1,0,0,1.2907288719555132,0,1,-1.1990487465455817,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,6,25.583214285714284,1015.1833333333334,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,2120.835885465812,0.2818996180555555,467.4964285714285,4196.742110501435,60,7.211898335776288,286.1797939230324,1,1,0,0,1.290728871975811,0,1,0.524361986692516,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,7,24.083214285714284,1268.9791666666667,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,2120.835885465812,0.2816845588235294,422.4964285714285,5465.721277168101,90,6.783869591123948,357.45183671875,1,1,0,0,1.2907288719879892,0,1,-1.2812153369751498,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,8,22.985138074360968,1454.7706114159494,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,2120.835885465812,0.2936104705882353,389.55414223082903,6920.491888584051,120,6.748677206548688,427.1358838157717,1,0,0,0,1.29072887199421,0,1,-0.5770623630562716,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,9,22.583214285714284,1522.775,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,2120.835885465812,0.2900697166666666,377.4964285714285,8443.26688858405,150,6.550706569279759,441.71091279708327,1,0,0,0,1.2907288719961079,0,1,-1.8365346676486525,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
North Central,Cassava,2000,10,22.985138074360968,1454.7706114159496,65.86309523809524,96.831,0.2073153428675517,0.2599950988104526,0.15463558692465085,0.0,0.2704053596491228,0.0,9898.0375,180,6.215304527582324,393.37777038690416,0,0,0,0,1.2907288719942107,0,1,-0.8390978637241114,0.0,0.0,0.0,12725.015312794872,25.58321428571428,12182.2,0.2073153428675517,0.0,0.0,0.0,0.0
