Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2000","2000","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2001","2001","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2002","2002","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2003","2003","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2004","2004","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2005","2005","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2006","2006","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2007","2007","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2008","2008","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2009","2009","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2010","2010","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2011","2011","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2012","2012","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2013","2013","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2014","2014","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2015","2015","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2016","2016","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2017","2017","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2021","2021","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2023","2023","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2000","2000","3050","FAO TIER 1","kt","19.0807","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2001","2001","3050","FAO TIER 1","kt","19.0807","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2002","2002","3050","FAO TIER 1","kt","28.6396","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2003","2003","3050","FAO TIER 1","kt","28.6396","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2004","2004","3050","FAO TIER 1","kt","31.8259","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2005","2005","3050","FAO TIER 1","kt","31.8259","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2006","2006","3050","FAO TIER 1","kt","35.0122","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2007","2007","3050","FAO TIER 1","kt","15.8944","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2008","2008","3050","FAO TIER 1","kt","31.7888","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2009","2009","3050","FAO TIER 1","kt","19.0436","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2010","2010","3050","FAO TIER 1","kt","31.7888","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2011","2011","3050","FAO TIER 1","kt","12.7452","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2012","2012","3050","FAO TIER 1","kt","12.7452","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2013","2013","3050","FAO TIER 1","kt","12.7452","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2014","2014","3050","FAO TIER 1","kt","12.7452","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2015","2015","3050","FAO TIER 1","kt","12.7452","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2016","2016","3050","FAO TIER 1","kt","12.7452","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2017","2017","3050","FAO TIER 1","kt","13.1849","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","13.4653","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","13.7839","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","14.0834","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","14.383","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","14.6538","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6994","On-farm energy use","2023","2023","3050","FAO TIER 1","kt","14.6538","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2000","2000","3050","FAO TIER 1","kt","44150.2686","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2001","2001","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2002","2002","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2003","2003","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2004","2004","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2005","2005","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2006","2006","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2007","2007","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2008","2008","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2009","2009","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2010","2010","3050","FAO TIER 1","kt","44150.5209","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6750","Net Forest conversion","2011","2011","3050","FAO TIER 1","kt","44149.9244","E","Estimated value",""
