Date,Year,Month,Geopolitical_Zone,State,Avg_Humidity_Percent,Min_Humidity_Percent,Max_Humidity_Percent
1990-01-01,1990,1,North-Central,Benue,64.5,46.6,77.9
1990-02-01,1990,2,North-Central,Benue,53.2,36.3,69.7
1990-03-01,1990,3,North-Central,Benue,53.8,34.7,73.5
1990-04-01,1990,4,North-Central,Benue,76.7,60.9,87.8
1990-05-01,1990,5,North-Central,Benue,84.9,74.8,104.0
1990-06-01,1990,6,North-Central,Benue,86.3,67.1,105.1
1990-07-01,1990,7,North-Central,Benue,87.3,70.0,100.2
1990-08-01,1990,8,North-Central,Benue,87.2,70.2,98.1
1990-09-01,1990,9,North-Central,Benue,88.0,72.4,101.0
1990-10-01,1990,10,North-Central,Benue,86.6,71.7,104.3
1990-11-01,1990,11,North-Central,Benue,81.6,61.7,98.0
1990-12-01,1990,12,North-Central,Benue,76.5,64.5,91.2
1991-01-01,1991,1,North-Central,Benue,55.9,37.8,73.4
1991-02-01,1991,2,North-Central,Benue,71.1,60.3,86.5
1991-03-01,1991,3,North-Central,Benue,71.5,53.2,84.6
1991-04-01,1991,4,North-Central,Benue,80.7,63.0,95.5
1991-05-01,1991,5,North-Central,Benue,83.7,69.9,97.5
1991-06-01,1991,6,North-Central,Benue,87.3,74.3,99.7
1991-07-01,1991,7,North-Central,Benue,88.7,75.5,104.2
1991-08-01,1991,8,North-Central,Benue,88.7,70.9,101.9
1991-09-01,1991,9,North-Central,Benue,87.3,73.8,106.9
1991-10-01,1991,10,North-Central,Benue,87.0,70.3,100.8
1991-11-01,1991,11,North-Central,Benue,77.5,59.3,95.4
1991-12-01,1991,12,North-Central,Benue,62.9,49.0,80.9
1992-01-01,1992,1,North-Central,Benue,52.0,33.6,66.3
1992-02-01,1992,2,North-Central,Benue,39.1,19.2,52.7
1992-03-01,1992,3,North-Central,Benue,67.6,53.7,79.5
1992-04-01,1992,4,North-Central,Benue,81.2,67.7,92.9
1992-05-01,1992,5,North-Central,Benue,85.1,70.9,98.8
1992-06-01,1992,6,North-Central,Benue,86.4,73.2,103.9
1992-07-01,1992,7,North-Central,Benue,88.4,74.3,100.7
1992-08-01,1992,8,North-Central,Benue,88.6,68.8,100.6
1992-09-01,1992,9,North-Central,Benue,89.3,78.7,105.6
1992-10-01,1992,10,North-Central,Benue,88.4,77.3,102.4
1992-11-01,1992,11,North-Central,Benue,77.2,65.5,91.1
1992-12-01,1992,12,North-Central,Benue,64.6,54.2,84.6
1993-01-01,1993,1,North-Central,Benue,53.9,42.0,66.7
1993-02-01,1993,2,North-Central,Benue,58.8,42.6,74.5
1993-03-01,1993,3,North-Central,Benue,72.1,61.5,89.5
1993-04-01,1993,4,North-Central,Benue,79.9,67.0,96.5
1993-05-01,1993,5,North-Central,Benue,85.5,66.3,101.8
1993-06-01,1993,6,North-Central,Benue,86.7,70.2,96.7
1993-07-01,1993,7,North-Central,Benue,87.8,69.0,98.3
1993-08-01,1993,8,North-Central,Benue,89.0,73.3,107.6
1993-09-01,1993,9,North-Central,Benue,87.5,74.6,98.2
1993-10-01,1993,10,North-Central,Benue,88.3,75.0,102.8
1993-11-01,1993,11,North-Central,Benue,84.9,66.5,103.4
1993-12-01,1993,12,North-Central,Benue,72.0,61.1,91.0
1994-01-01,1994,1,North-Central,Benue,66.9,48.9,85.8
1994-02-01,1994,2,North-Central,Benue,53.3,38.3,71.5
1994-03-01,1994,3,North-Central,Benue,77.0,62.0,92.3
1994-04-01,1994,4,North-Central,Benue,81.3,70.2,95.8
1994-05-01,1994,5,North-Central,Benue,84.6,66.6,97.6
1994-06-01,1994,6,North-Central,Benue,85.8,75.0,98.1
1994-07-01,1994,7,North-Central,Benue,87.8,70.5,103.9
1994-08-01,1994,8,North-Central,Benue,88.9,78.1,99.7
1994-09-01,1994,9,North-Central,Benue,89.1,73.3,102.4
1994-10-01,1994,10,North-Central,Benue,89.3,77.9,103.6
1994-11-01,1994,11,North-Central,Benue,78.6,65.8,97.3
1994-12-01,1994,12,North-Central,Benue,71.1,57.4,81.2
1995-01-01,1995,1,North-Central,Benue,59.2,47.2,79.0
1995-02-01,1995,2,North-Central,Benue,55.6,42.9,69.1
1995-03-01,1995,3,North-Central,Benue,77.9,60.5,96.0
1995-04-01,1995,4,North-Central,Benue,81.6,62.4,97.7
1995-05-01,1995,5,North-Central,Benue,85.5,71.3,95.7
1995-06-01,1995,6,North-Central,Benue,87.1,73.7,99.2
1995-07-01,1995,7,North-Central,Benue,88.9,75.7,101.4
1995-08-01,1995,8,North-Central,Benue,90.3,77.3,109.7
1995-09-01,1995,9,North-Central,Benue,89.3,75.1,108.0
1995-10-01,1995,10,North-Central,Benue,88.8,68.9,99.9
1995-11-01,1995,11,North-Central,Benue,82.6,67.2,95.1
1995-12-01,1995,12,North-Central,Benue,72.7,57.0,87.3
1996-01-01,1996,1,North-Central,Benue,64.5,46.4,77.7
1996-02-01,1996,2,North-Central,Benue,70.1,51.6,83.6
1996-03-01,1996,3,North-Central,Benue,79.8,69.1,89.9
1996-04-01,1996,4,North-Central,Benue,82.8,68.2,96.4
1996-05-01,1996,5,North-Central,Benue,85.5,65.6,100.3
1996-06-01,1996,6,North-Central,Benue,87.1,74.5,99.3
1996-07-01,1996,7,North-Central,Benue,87.3,71.7,105.9
1996-08-01,1996,8,North-Central,Benue,88.4,74.1,98.6
1996-09-01,1996,9,North-Central,Benue,88.7,70.7,107.7
1996-10-01,1996,10,North-Central,Benue,88.6,74.6,101.6
1996-11-01,1996,11,North-Central,Benue,75.5,60.4,92.0
1996-12-01,1996,12,North-Central,Benue,63.9,43.9,83.4
1997-01-01,1997,1,North-Central,Benue,65.9,51.6,85.1
1997-02-01,1997,2,North-Central,Benue,50.6,31.2,65.3
1997-03-01,1997,3,North-Central,Benue,71.7,56.0,89.5
1997-04-01,1997,4,North-Central,Benue,83.1,68.1,96.4
1997-05-01,1997,5,North-Central,Benue,86.8,74.7,106.5
1997-06-01,1997,6,North-Central,Benue,89.3,71.8,107.7
1997-07-01,1997,7,North-Central,Benue,89.0,77.7,100.8
1997-08-01,1997,8,North-Central,Benue,89.2,74.0,104.8
1997-09-01,1997,9,North-Central,Benue,89.4,76.7,102.4
1997-10-01,1997,10,North-Central,Benue,89.6,70.6,106.1
1997-11-01,1997,11,North-Central,Benue,79.9,60.6,92.0
1997-12-01,1997,12,North-Central,Benue,65.4,47.2,80.4
1998-01-01,1998,1,North-Central,Benue,62.5,47.9,77.8
1998-02-01,1998,2,North-Central,Benue,58.2,42.6,71.8
1998-03-01,1998,3,North-Central,Benue,58.9,44.6,73.3
1998-04-01,1998,4,North-Central,Benue,82.2,65.1,93.1
1998-05-01,1998,5,North-Central,Benue,85.9,72.6,99.5
1998-06-01,1998,6,North-Central,Benue,87.3,70.5,98.2
1998-07-01,1998,7,North-Central,Benue,88.1,74.6,101.4
1998-08-01,1998,8,North-Central,Benue,88.5,69.7,106.4
1998-09-01,1998,9,North-Central,Benue,88.6,71.6,99.9
1998-10-01,1998,10,North-Central,Benue,86.7,74.6,97.7
1998-11-01,1998,11,North-Central,Benue,77.0,65.0,87.4
1998-12-01,1998,12,North-Central,Benue,69.1,51.1,86.4
1999-01-01,1999,1,North-Central,Benue,61.5,46.0,80.9
1999-02-01,1999,2,North-Central,Benue,71.9,52.0,82.4
1999-03-01,1999,3,North-Central,Benue,77.1,60.9,95.1
1999-04-01,1999,4,North-Central,Benue,78.0,64.3,90.6
1999-05-01,1999,5,North-Central,Benue,81.0,63.4,92.4
1999-06-01,1999,6,North-Central,Benue,85.0,69.9,98.6
1999-07-01,1999,7,North-Central,Benue,85.2,72.5,97.8
1999-08-01,1999,8,North-Central,Benue,84.3,72.1,95.8
1999-09-01,1999,9,North-Central,Benue,84.9,71.6,96.4
1999-10-01,1999,10,North-Central,Benue,84.9,72.4,95.4
