country,year,co2_MtCO2,co2_per_capita_tCO2_per_person,co2_growth_percent,cumulative_co2_MtCO2,share_global_co2_percent,coal_co2_MtCO2,oil_co2_MtCO2,gas_co2_MtCO2,cement_co2_MtCO2,flaring_co2_MtCO2,other_industry_co2_MtCO2,population_persons,gdp_intl_USD_2011_prices,energy_per_capita_kWh_per_person,co2_per_gdp_kg_per_USD
** UNITS **,–,Million tonnes CO2,Tonnes CO2 per person,% change vs previous year,Million tonnes CO2 (since 1750),% of global CO2 emissions,Million tonnes CO2,Million tonnes CO2,Million tonnes CO2,Million tonnes CO2,Million tonnes CO2,Million tonnes CO2,Number of persons,International USD (2011 constant prices),Kilowatt-hours per person,Kilograms CO2 per USD of GDP
Nigeria,2000,96.831,0.766,14.137,2055.175,0.38,0.158,31.54,13.179,0.845,51.11,,126382490,268133000000.0,1704.075,0.361
Nigeria,2001,100.218,0.772,3.498,2155.393,0.39,0.154,37.204,11.608,0.846,50.407,,129862594,293372000000.0,1880.878,0.342
Nigeria,2002,89.906,0.674,-10.289,2245.3,0.342,0.136,37.573,11.889,0.808,39.501,,133471995,344836000000.0,1880.187,0.261
Nigeria,2003,100.03,0.729,11.26,2345.329,0.362,0.15,34.203,20.097,0.773,44.806,,137202646,387284000000.0,1946.971,0.258
Nigeria,2004,94.962,0.673,-5.066,2440.291,0.332,0.15,30.847,20.507,0.912,42.545,,141057045,438815000000.0,1961.007,0.216
Nigeria,2005,101.666,0.701,7.06,2541.957,0.343,0.172,39.793,20.631,1.112,39.958,,145017256,481798000000.0,2102.179,0.211
Nigeria,2006,90.097,0.604,-11.379,2632.054,0.294,0.213,31.979,21.618,1.252,35.036,,149077335,527632000000.0,1838.13,0.171
Nigeria,2007,82.17,0.536,-8.798,2714.224,0.261,0.3,27.26,22.233,1.811,30.565,,153267254,581001000000.0,1643.461,0.141
Nigeria,2008,86.489,0.549,5.256,2800.713,0.27,0.641,33.499,20.653,2.507,29.189,,157595014,638908000000.0,1969.013,0.135
Nigeria,2009,77.031,0.475,-10.935,2877.745,0.244,0.641,27.253,18.053,3.104,27.981,,162049466,709931000000.0,1211.625,0.109
Nigeria,2010,112.05,0.672,45.46,2989.794,0.336,0.641,58.741,20.196,3.941,28.531,,166642888,809999000000.0,1445.278,0.138
Nigeria,2011,126.115,0.736,12.553,3115.91,0.366,0.678,69.442,28.003,4.682,23.31,,171379602,871104000000.0,2022.947,0.145
Nigeria,2012,110.125,0.625,-12.68,3226.034,0.315,0.901,55.858,28.872,6.403,18.09,,176200627,908381000000.0,1987.339,0.121
Nigeria,2013,117.401,0.648,6.607,3343.435,0.333,1.129,62.251,28.63,7.83,17.561,,181049440,957383000000.0,2503.916,0.123
Nigeria,2014,123.971,0.667,5.597,3467.406,0.35,1.129,66.604,32.676,7.736,15.827,,185896917,1017790765613.0,2658.422,0.122
Nigeria,2015,110.525,0.58,-10.847,3577.931,0.312,1.183,54.11,32.448,8.386,14.397,,190671883,1044789628210.0,2458.865,0.106
Nigeria,2016,116.396,0.596,5.312,3694.327,0.329,1.238,60.54,34.434,6.886,13.297,,195443698,1027896680223.0,2431.617,0.113
Nigeria,2017,112.54,0.562,-3.313,3806.867,0.313,1.07,58.476,32.416,6.203,14.375,,200254580,1036180414988.0,2297.201,0.109
Nigeria,2018,106.786,0.521,-5.113,3913.653,0.291,1.253,48.436,34.34,8.583,14.173,,204938752,1056103594567.0,2398.611,0.101
Nigeria,2019,127.859,0.61,19.734,4041.512,0.345,1.268,68.002,35.106,8.895,14.588,,209485637,1079426893318.0,2457.388,0.118
Nigeria,2020,124.899,0.584,-2.315,4166.412,0.355,1.499,64.36,35.293,10.222,13.526,,213996185,1060059201469.0,2221.549,0.118
Nigeria,2021,147.777,0.676,18.317,4314.188,0.401,3.049,82.841,38.114,11.314,12.458,,218529286,1098721596994.0,2345.254,0.134
Nigeria,2022,131.441,0.589,-11.054,4445.629,0.35,3.199,69.383,37.936,10.924,9.999,,223150906,1134448580250.0,2319.896,0.116
Nigeria,2023,129.376,0.568,-1.571,4575.005,0.34,3.72,66.347,37.507,10.924,10.879,,227882949,,2342.639,
