Date,Year,Month,Geopolitical_Zone,State,Rainfall_mm,Rainy_Days,Max_Daily_Rainfall_mm,Rainfall_Intensity,Drought_Index,Flood_Risk_Index
1990-01-01,1990,1,North-Central,Benue,1.5,0,0.7,1.5,0.734,0.124
1990-02-01,1990,2,North-Central,Benue,6.5,1,2.3,6.5,0.54,0.163
1990-03-01,1990,3,North-Central,Benue,3.2,1,1.4,3.2,0.915,0.037
1990-04-01,1990,4,North-Central,Benue,82.4,16,31.8,5.15,0.288,0.275
1990-05-01,1990,5,North-Central,Benue,185.9,30,62.1,6.2,0.0,0.392
1990-06-01,1990,6,North-Central,Benue,148.1,30,65.6,4.94,0.213,0.349
1990-07-01,1990,7,North-Central,Benue,148.8,30,53.3,4.96,0.214,0.281
1990-08-01,1990,8,North-Central,Benue,135.1,27,46.8,5.0,0.356,0.223
1990-09-01,1990,9,North-Central,Benue,191.1,30,75.2,6.37,0.118,0.347
1990-10-01,1990,10,North-Central,Benue,189.6,30,87.0,6.32,0.0,0.534
1990-11-01,1990,11,North-Central,Benue,66.3,13,27.8,5.1,0.0,0.701
1990-12-01,1990,12,North-Central,Benue,28.5,6,9.0,4.75,0.0,1.0
1991-01-01,1991,1,North-Central,Benue,1.3,0,0.5,1.3,0.769,0.089
1991-02-01,1991,2,North-Central,Benue,15.8,3,4.9,5.27,0.0,0.347
1991-03-01,1991,3,North-Central,Benue,24.2,5,8.2,4.84,0.357,0.218
1991-04-01,1991,4,North-Central,Benue,142.3,28,55.1,5.08,0.0,0.476
1991-05-01,1991,5,North-Central,Benue,197.1,30,65.7,6.57,0.0,0.415
1991-06-01,1991,6,North-Central,Benue,179.9,30,87.5,6.0,0.044,0.465
1991-07-01,1991,7,North-Central,Benue,257.5,30,91.1,8.58,0.0,0.481
1991-08-01,1991,8,North-Central,Benue,152.6,30,53.0,5.09,0.273,0.253
1991-09-01,1991,9,North-Central,Benue,138.4,28,56.7,4.94,0.361,0.262
1991-10-01,1991,10,North-Central,Benue,97.5,20,34.4,4.88,0.402,0.211
1991-11-01,1991,11,North-Central,Benue,31.0,6,9.8,5.17,0.218,0.247
1991-12-01,1991,12,North-Central,Benue,0.2,0,0.1,0.2,0.957,0.021
1992-01-01,1992,1,North-Central,Benue,0.3,0,0.1,0.3,0.947,0.018
1992-02-01,1992,2,North-Central,Benue,0.1,0,0.0,0.1,0.993,0.0
1992-03-01,1992,3,North-Central,Benue,53.0,11,22.8,4.82,0.0,0.606
1992-04-01,1992,4,North-Central,Benue,137.9,28,45.8,4.92,0.0,0.396
1992-05-01,1992,5,North-Central,Benue,173.3,30,81.3,5.78,0.0,0.514
1992-06-01,1992,6,North-Central,Benue,227.9,30,111.9,7.6,0.0,0.595
1992-07-01,1992,7,North-Central,Benue,323.5,30,123.9,10.78,0.0,0.654
1992-08-01,1992,8,North-Central,Benue,190.5,30,70.3,6.35,0.092,0.335
1992-09-01,1992,9,North-Central,Benue,255.9,30,77.8,8.53,0.0,0.359
1992-10-01,1992,10,North-Central,Benue,183.1,30,71.9,6.1,0.0,0.441
1992-11-01,1992,11,North-Central,Benue,15.6,3,6.8,5.2,0.606,0.172
1992-12-01,1992,12,North-Central,Benue,0.0,0,0.0,0.0,1.0,0.0
1993-01-01,1993,1,North-Central,Benue,0.0,0,0.0,0.0,1.0,0.0
1993-02-01,1993,2,North-Central,Benue,4.6,1,2.0,4.6,0.674,0.142
1993-03-01,1993,3,North-Central,Benue,44.7,9,14.1,4.97,0.0,0.375
1993-04-01,1993,4,North-Central,Benue,85.0,17,36.8,5.0,0.265,0.318
1993-05-01,1993,5,North-Central,Benue,192.7,30,71.9,6.42,0.0,0.454
1993-06-01,1993,6,North-Central,Benue,243.5,30,97.7,8.12,0.0,0.519
1993-07-01,1993,7,North-Central,Benue,265.1,30,111.2,8.84,0.0,0.587
1993-08-01,1993,8,North-Central,Benue,227.7,30,74.4,7.59,0.0,0.355
1993-09-01,1993,9,North-Central,Benue,273.9,30,135.6,9.13,0.0,0.626
1993-10-01,1993,10,North-Central,Benue,147.5,30,52.0,4.92,0.095,0.319
1993-11-01,1993,11,North-Central,Benue,32.7,7,15.8,4.67,0.175,0.399
1993-12-01,1993,12,North-Central,Benue,4.2,1,1.4,4.2,0.107,0.298
1994-01-01,1994,1,North-Central,Benue,10.8,2,3.9,5.4,0.0,0.692
1994-02-01,1994,2,North-Central,Benue,1.5,0,0.5,1.5,0.894,0.035
1994-03-01,1994,3,North-Central,Benue,26.8,5,11.2,5.36,0.288,0.298
1994-04-01,1994,4,North-Central,Benue,140.5,28,55.7,5.02,0.0,0.482
1994-05-01,1994,5,North-Central,Benue,114.6,23,42.0,4.98,0.276,0.265
1994-06-01,1994,6,North-Central,Benue,174.1,30,57.4,5.8,0.075,0.305
1994-07-01,1994,7,North-Central,Benue,268.6,30,124.8,8.95,0.0,0.659
1994-08-01,1994,8,North-Central,Benue,301.2,30,93.4,10.04,0.0,0.445
1994-09-01,1994,9,North-Central,Benue,355.0,30,158.7,11.83,0.0,0.733
1994-10-01,1994,10,North-Central,Benue,197.3,30,88.5,6.58,0.0,0.543
1994-11-01,1994,11,North-Central,Benue,25.6,5,7.8,5.12,0.354,0.197
1994-12-01,1994,12,North-Central,Benue,0.0,0,0.0,0.0,1.0,0.0
1995-01-01,1995,1,North-Central,Benue,0.2,0,0.1,0.2,0.964,0.018
1995-02-01,1995,2,North-Central,Benue,10.8,2,4.3,5.4,0.235,0.304
1995-03-01,1995,3,North-Central,Benue,52.4,10,22.3,5.24,0.0,0.593
1995-04-01,1995,4,North-Central,Benue,120.6,24,47.8,5.02,0.0,0.413
1995-05-01,1995,5,North-Central,Benue,149.5,30,53.3,4.98,0.055,0.337
1995-06-01,1995,6,North-Central,Benue,252.3,30,93.4,8.41,0.0,0.496
1995-07-01,1995,7,North-Central,Benue,325.2,30,115.4,10.84,0.0,0.609
1995-08-01,1995,8,North-Central,Benue,414.9,30,158.3,13.83,0.0,0.754
1995-09-01,1995,9,North-Central,Benue,283.4,30,140.4,9.45,0.0,0.648
1995-10-01,1995,10,North-Central,Benue,203.4,30,62.7,6.78,0.0,0.385
1995-11-01,1995,11,North-Central,Benue,37.5,8,16.8,4.69,0.054,0.424
1995-12-01,1995,12,North-Central,Benue,0.0,0,0.0,0.0,1.0,0.0
1996-01-01,1996,1,North-Central,Benue,2.7,1,1.3,2.7,0.521,0.231
1996-02-01,1996,2,North-Central,Benue,9.3,2,3.2,4.65,0.342,0.227
1996-03-01,1996,3,North-Central,Benue,63.8,13,20.1,4.91,0.0,0.534
1996-04-01,1996,4,North-Central,Benue,100.1,20,47.3,5.0,0.135,0.409
1996-05-01,1996,5,North-Central,Benue,188.0,30,57.4,6.27,0.0,0.363
1996-06-01,1996,6,North-Central,Benue,218.3,30,95.6,7.28,0.0,0.508
1996-07-01,1996,7,North-Central,Benue,178.2,30,56.4,5.94,0.059,0.298
1996-08-01,1996,8,North-Central,Benue,374.0,30,164.5,12.47,0.0,0.784
1996-09-01,1996,9,North-Central,Benue,260.7,30,108.5,8.69,0.0,0.501
1996-10-01,1996,10,North-Central,Benue,169.4,30,58.9,5.65,0.0,0.361
1996-11-01,1996,11,North-Central,Benue,0.2,0,0.1,0.2,0.995,0.003
1996-12-01,1996,12,North-Central,Benue,0.0,0,0.0,0.0,1.0,0.0
1997-01-01,1997,1,North-Central,Benue,0.1,0,0.0,0.1,0.982,0.0
1997-02-01,1997,2,North-Central,Benue,0.0,0,0.0,0.0,1.0,0.0
1997-03-01,1997,3,North-Central,Benue,95.9,19,31.1,5.05,0.0,0.826
1997-04-01,1997,4,North-Central,Benue,134.2,27,56.2,4.97,0.0,0.486
1997-05-01,1997,5,North-Central,Benue,276.3,30,102.3,9.21,0.0,0.646
1997-06-01,1997,6,North-Central,Benue,347.1,30,116.9,11.57,0.0,0.621
