Date,Year,Month,Geopolitical_Zone,State,Avg_Temp_C,Min_Temp_C,Max_Temp_C,Temp_Range_C,Heat_Stress_Days,Cold_Stress_Days
1990-01-01,1990,1,North-Central,Benue,24.74,15.96,32.17,16.2,0,0
1990-02-01,1990,2,North-Central,Benue,24.84,14.07,33.45,19.4,0,0
1990-03-01,1990,3,North-Central,Benue,26.56,16.9,35.99,19.1,7,0
1990-04-01,1990,4,North-Central,Benue,28.09,22.78,35.68,12.9,6,0
1990-05-01,1990,5,North-Central,Benue,26.37,22.36,31.94,9.6,0,0
1990-06-01,1990,6,North-Central,Benue,25.8,21.86,31.52,9.7,0,0
1990-07-01,1990,7,North-Central,Benue,24.82,20.96,30.37,9.4,0,0
1990-08-01,1990,8,North-Central,Benue,24.88,21.7,30.83,9.1,0,0
1990-09-01,1990,9,North-Central,Benue,24.82,20.29,30.05,9.8,0,0
1990-10-01,1990,10,North-Central,Benue,25.33,19.85,31.11,11.3,0,0
1990-11-01,1990,11,North-Central,Benue,25.65,19.89,31.7,11.8,0,0
1990-12-01,1990,12,North-Central,Benue,25.52,16.27,32.35,16.1,0,0
1991-01-01,1991,1,North-Central,Benue,23.95,13.59,33.56,20.0,0,0
1991-02-01,1991,2,North-Central,Benue,27.45,17.61,35.19,17.6,5,0
1991-03-01,1991,3,North-Central,Benue,27.84,20.74,35.82,15.1,3,0
1991-04-01,1991,4,North-Central,Benue,27.03,20.65,33.25,12.6,0,0
1991-05-01,1991,5,North-Central,Benue,26.62,22.4,33.28,10.9,0,0
1991-06-01,1991,6,North-Central,Benue,25.78,22.09,31.44,9.4,0,0
1991-07-01,1991,7,North-Central,Benue,24.66,21.26,29.78,8.5,0,0
1991-08-01,1991,8,North-Central,Benue,24.43,21.34,29.53,8.2,0,0
1991-09-01,1991,9,North-Central,Benue,25.3,21.26,30.45,9.2,0,0
1991-10-01,1991,10,North-Central,Benue,24.79,20.11,30.61,10.5,0,0
1991-11-01,1991,11,North-Central,Benue,25.65,19.33,31.67,12.3,0,0
1991-12-01,1991,12,North-Central,Benue,22.02,13.58,31.75,18.2,0,0
1992-01-01,1992,1,North-Central,Benue,23.16,11.82,34.45,22.6,0,0
1992-02-01,1992,2,North-Central,Benue,25.28,14.32,36.6,22.3,4,0
1992-03-01,1992,3,North-Central,Benue,28.29,19.46,37.57,18.1,0,0
1992-04-01,1992,4,North-Central,Benue,27.26,22.68,34.3,11.6,0,0
1992-05-01,1992,5,North-Central,Benue,26.47,22.38,33.27,10.9,0,0
1992-06-01,1992,6,North-Central,Benue,25.58,21.48,30.75,9.3,0,0
1992-07-01,1992,7,North-Central,Benue,24.41,20.87,29.67,8.8,0,0
1992-08-01,1992,8,North-Central,Benue,24.08,20.76,29.49,8.7,0,0
1992-09-01,1992,9,North-Central,Benue,24.32,20.95,30.66,9.7,0,0
1992-10-01,1992,10,North-Central,Benue,25.01,20.44,30.98,10.5,0,0
1992-11-01,1992,11,North-Central,Benue,23.54,14.08,31.3,17.2,0,0
1992-12-01,1992,12,North-Central,Benue,22.16,12.93,31.23,18.3,0,0
1993-01-01,1993,1,North-Central,Benue,21.58,11.38,32.02,20.6,0,0
1993-02-01,1993,2,North-Central,Benue,25.21,11.66,34.27,22.6,0,0
1993-03-01,1993,3,North-Central,Benue,26.53,14.28,34.46,20.2,0,0
1993-04-01,1993,4,North-Central,Benue,27.19,22.08,33.96,11.9,0,0
1993-05-01,1993,5,North-Central,Benue,26.76,22.96,31.97,9.0,0,0
1993-06-01,1993,6,North-Central,Benue,25.66,21.68,31.1,9.4,0,0
1993-07-01,1993,7,North-Central,Benue,24.82,21.37,29.92,8.6,0,0
1993-08-01,1993,8,North-Central,Benue,24.36,20.92,29.51,8.6,0,0
1993-09-01,1993,9,North-Central,Benue,24.88,20.91,30.59,9.7,0,0
1993-10-01,1993,10,North-Central,Benue,25.3,21.15,31.49,10.3,0,0
1993-11-01,1993,11,North-Central,Benue,25.54,20.13,31.23,11.1,0,0
1993-12-01,1993,12,North-Central,Benue,22.9,14.25,30.63,16.4,0,0
1994-01-01,1994,1,North-Central,Benue,23.78,12.6,32.53,19.9,0,0
1994-02-01,1994,2,North-Central,Benue,25.0,13.89,33.67,19.8,0,0
1994-03-01,1994,3,North-Central,Benue,27.63,21.32,34.81,13.5,0,0
