zone,year,month,soil_moisture_m3m3
North Central,2000,1,0.11319382051282051
North Central,2000,2,0.10139883908045978
North Central,2000,3,0.12578065094339622
North Central,2000,4,0.1803172962962963
North Central,2000,5,0.23238893243243244
North Central,2000,6,0.2818996180555555
North Central,2000,7,0.28168455882352944
North Central,2000,8,0.2936104705882353
North Central,2000,9,0.29006971666666664
North Central,2000,10,0.2704053596491228
North Central,2000,11,0.18221128099173553
North Central,2000,12,0.13482357037037038
North Central,2001,1,0.10842674561403509
North Central,2001,2,0.08654870491803279
North Central,2001,3,0.13016702127659574
North Central,2001,4,0.207347008
North Central,2001,5,0.2337299714285714
North Central,2001,6,0.2758445619047619
North Central,2001,7,0.2797123985507246
North Central,2001,8,0.2914461923076923
North Central,2001,9,0.29537407258064513
North Central,2001,10,0.26931113978494625
North Central,2001,11,0.17037743137254902
North Central,2001,12,0.13999985074626864
North Central,2002,1,0.1007891551724138
North Central,2002,2,0.09698662025316455
North Central,2002,3,0.1370729528301887
North Central,2002,4,0.20071335172413793
North Central,2002,5,0.22751660135135135
North Central,2002,6,0.2666272960526316
North Central,2002,7,0.2892786666666667
North Central,2002,8,0.2955172897727273
North Central,2002,9,0.2931553846153846
North Central,2002,10,0.28156970621468924
North Central,2002,11,0.20122096226415095
North Central,2002,12,0.14458116759776538
North Central,2003,1,0.11810379761904762
North Central,2003,2,0.11126280575539568
North Central,2003,3,0.12139484615384614
North Central,2003,4,0.19564631176470587
North Central,2003,5,0.21537510119047618
North Central,2003,6,0.28902843373493975
North Central,2003,7,0.28798757894736843
North Central,2003,8,0.2920468203592814
North Central,2003,9,0.2948696125
North Central,2003,10,0.2737346474358974
North Central,2003,11,0.197276648
North Central,2003,12,0.14137540490797548
North Central,2004,1,0.11402410909090908
North Central,2004,2,0.10692623728813559
North Central,2004,3,0.1339076796875
North Central,2004,4,0.19095714906832298
North Central,2004,5,0.2536276373626374
North Central,2004,6,0.2798320365853659
North Central,2004,7,0.28789917647058827
North Central,2004,8,0.29262985365853655
North Central,2004,9,0.28916056024096387
North Central,2004,10,0.2559784468085107
North Central,2004,11,0.18137454545454545
North Central,2004,12,0.14424744378698226
North Central,2005,1,0.11666143529411764
North Central,2005,2,0.10769194029850745
North Central,2005,3,0.13093312499999998
North Central,2005,4,0.18802513605442175
North Central,2005,5,0.2457891739130435
North Central,2005,6,0.2803122705882353
North Central,2005,7,0.28835581645569625
North Central,2005,8,0.2865829872611465
North Central,2005,9,0.29072685
North Central,2005,10,0.2589682684563758
North Central,2005,11,0.1768045
North Central,2005,12,0.13191556441717792
North Central,2006,1,0.11658468674698795
North Central,2006,2,0.11513023880597015
North Central,2006,3,0.1442203904109589
