Crop,Temp_Delta_C,Precip_Change_%,Baseline_Yield_kg/ha,Projected_Yield_kg/ha,Yield_Change_kg/ha,Yield_Change_%,Sample_Count
Cassava,0.0,-19.999999999999996,6987.9487,9461.006,2473.0571,35.390316,24
Maize,0.0,-19.999999999999996,2064.6619,1710.5394,-354.12244,-17.151594,24
Rice,0.0,-19.999999999999996,1914.7152,1917.8551,3.1398926,0.16398744,24
Yam,0.0,-19.999999999999996,9199.716,9861.103,661.3867,7.189208,24
Cassava,0.0,-9.999999999999998,6987.9487,9325.071,2337.1226,33.445045,24
Maize,0.0,-9.999999999999998,2064.6619,1707.472,-357.18982,-17.30016,24
Rice,0.0,-9.999999999999998,1914.7152,1912.7188,-1.99646,-0.104269296,24
Yam,0.0,-9.999999999999998,9199.716,9818.765,619.0488,6.728999,24
Cassava,0.0,0.0,6987.9487,9207.315,2219.3667,31.759918,24
Maize,0.0,0.0,2064.6619,1705.6118,-359.05005,-17.390259,24
Rice,0.0,0.0,1914.7152,1909.3877,-5.3275146,-0.2782406,24
Yam,0.0,0.0,9199.716,9786.159,586.44336,6.3745813,24
Cassava,0.0,10.000000000000009,6987.9487,9090.914,2102.9653,30.094173,24
Maize,0.0,10.000000000000009,2064.6619,1703.1422,-361.51965,-17.509872,24
Rice,0.0,10.000000000000009,1914.7152,1905.7496,-8.965576,-0.46824595,24
Yam,0.0,10.000000000000009,9199.716,9748.399,548.6836,5.9641366,24
Cassava,0.0,19.999999999999996,6987.9487,8987.63,1999.6812,28.616138,24
Maize,0.0,19.999999999999996,2064.6619,1699.9105,-364.75134,-17.666397,24
Rice,0.0,19.999999999999996,1914.7152,1901.3535,-13.361694,-0.69784236,24
Yam,0.0,19.999999999999996,9199.716,9706.411,506.6953,5.5077276,24
Cassava,1.0,-19.999999999999996,6987.9487,8372.546,1384.5972,19.814072,24
Maize,1.0,-19.999999999999996,2064.6619,1642.501,-422.1609,-20.446974,24
Rice,1.0,-19.999999999999996,1914.7152,1828.6893,-86.02588,-4.4928813,24
Yam,1.0,-19.999999999999996,9199.716,9170.667,-29.048828,-0.3157579,24
Cassava,1.0,-9.999999999999998,6987.9487,8276.163,1288.2144,18.434801,24
Maize,1.0,-9.999999999999998,2064.6619,1638.9557,-425.70618,-20.618687,24
Rice,1.0,-9.999999999999998,1914.7152,1823.374,-91.34119,-4.770484,24
Yam,1.0,-9.999999999999998,9199.716,9126.543,-73.17285,-0.7953816,24
Cassava,1.0,0.0,6987.9487,8195.677,1207.728,17.283012,24
Maize,1.0,0.0,2064.6619,1637.3619,-427.29993,-20.695879,24
Rice,1.0,0.0,1914.7152,1820.5098,-94.205444,-4.9200764,24
Yam,1.0,0.0,9199.716,9094.825,-104.890625,-1.1401507,24
Cassava,1.0,10.000000000000009,6987.9487,8120.5254,1132.5767,16.20757,24
Maize,1.0,10.000000000000009,2064.6619,1636.3446,-428.31726,-20.745152,24
Rice,1.0,10.000000000000009,1914.7152,1818.1758,-96.53943,-5.041973,24
Yam,1.0,10.000000000000009,9199.716,9067.192,-132.52344,-1.4405167,24
Cassava,1.0,19.999999999999996,6987.9487,8074.858,1086.9092,15.554052,24
Maize,1.0,19.999999999999996,2064.6619,1634.4805,-430.1814,-20.83544,24
Rice,1.0,19.999999999999996,1914.7152,1815.8579,-98.8573,-5.1630287,24
Yam,1.0,19.999999999999996,9199.716,9042.568,-157.14746,-1.7081773,24
Cassava,2.0,-19.999999999999996,6987.9487,7673.8906,685.9419,9.81607,24
Maize,2.0,-19.999999999999996,2064.6619,1590.0077,-474.65417,-22.989439,24
Rice,2.0,-19.999999999999996,1914.7152,1761.2115,-153.50366,-8.017049,24
Yam,2.0,-19.999999999999996,9199.716,8671.302,-528.41406,-5.7438087,24
Cassava,2.0,-9.999999999999998,6987.9487,7612.806,624.8574,8.941929,24
Maize,2.0,-9.999999999999998,2064.6619,1587.5405,-477.12134,-23.108934,24
Rice,2.0,-9.999999999999998,1914.7152,1757.0441,-157.67114,-8.234704,24
Yam,2.0,-9.999999999999998,9199.716,8634.074,-565.6416,-6.1484685,24
Cassava,2.0,0.0,6987.9487,7564.867,576.91846,8.255906,24
Maize,2.0,0.0,2064.6619,1585.7506,-478.91125,-23.195625,24
Rice,2.0,0.0,1914.7152,1754.1849,-160.53027,-8.384028,24
Yam,2.0,0.0,9199.716,8602.835,-596.88086,-6.4880357,24
Cassava,2.0,10.000000000000009,6987.9487,7532.678,544.7295,7.7952704,24
Maize,2.0,10.000000000000009,2064.6619,1586.3818,-478.28003,-23.165052,24
Rice,2.0,10.000000000000009,1914.7152,1754.3839,-160.3313,-8.373637,24
Yam,2.0,10.000000000000009,9199.716,8598.8,-600.916,-6.531898,24
Cassava,2.0,19.999999999999996,6987.9487,7488.8003,500.85156,7.1673617,24
Maize,2.0,19.999999999999996,2064.6619,1585.3617,-479.30017,-23.214464,24
Rice,2.0,19.999999999999996,1914.7152,1752.7826,-161.93262,-8.457269,24
Yam,2.0,19.999999999999996,9199.716,8583.218,-616.49805,-6.701273,24
Cassava,3.0,-19.999999999999996,6987.9487,7202.875,214.92627,3.0756705,24
Maize,3.0,-19.999999999999996,2064.6619,1549.2819,-515.38,-24.961958,24
Rice,3.0,-19.999999999999996,1914.7152,1709.2021,-205.51306,-10.733349,24
Yam,3.0,-19.999999999999996,9199.716,8292.619,-907.0967,-9.860051,24
Cassava,3.0,-9.999999999999998,6987.9487,7174.886,186.9375,2.675141,24
Maize,3.0,-9.999999999999998,2064.6619,1548.5546,-516.1073,-24.997183,24
Rice,3.0,-9.999999999999998,1914.7152,1707.8514,-206.86377,-10.803892,24
Yam,3.0,-9.999999999999998,9199.716,8277.266,-922.4502,-10.026942,24
Cassava,3.0,0.0,6987.9487,7129.0513,141.10254,2.019227,24
Maize,3.0,0.0,2064.6619,1545.7808,-518.8811,-25.131529,24
Rice,3.0,0.0,1914.7152,1704.1774,-210.53784,-10.995778,24
Yam,3.0,0.0,9199.716,8245.108,-954.6074,-10.376489,24
Cassava,3.0,10.000000000000009,6987.9487,7081.6235,93.674805,1.3405193,24
Maize,3.0,10.000000000000009,2064.6619,1542.9489,-521.713,-25.268692,24
Rice,3.0,10.000000000000009,1914.7152,1700.8292,-213.88599,-11.170642,24
Yam,3.0,10.000000000000009,9199.716,8217.35,-982.3662,-10.678224,24
Cassava,3.0,19.999999999999996,6987.9487,7029.449,41.50049,0.59388655,24
Maize,3.0,19.999999999999996,2064.6619,1539.0548,-525.60706,-25.457296,24
Rice,3.0,19.999999999999996,1914.7152,1696.4912,-218.224,-11.397203,24
Yam,3.0,19.999999999999996,9199.716,8189.3228,-1010.39307,-10.982873,24
