Crop,Region,Critical_Month_1,SHAP_1,Critical_Month_2,SHAP_2,Critical_Month_3,SHAP_3,Sample_Size
Cassava,North-Central,Mar,115.49727630615234,Feb,78.5429458618164,Jun,74.37973022460938,25
Cassava,North-East,Feb,100.6300048828125,Mar,47.14952087402344,Jan,43.49736404418945,25
Cassava,North-West,Feb,86.18647766113281,Mar,43.49053955078125,Apr,42.27058410644531,25
Cassava,South-East,Feb,112.87522888183594,Jan,57.92295455932617,Mar,51.2234992980957,25
Cassava,South-South,Mar,69.68120574951172,Feb,48.290157318115234,Apr,27.024730682373047,25
Cassava,South-West,Feb,75.04609680175781,Mar,50.470516204833984,May,45.167110443115234,25
Maize,North-Central,Mar,138.96807861328125,Apr,68.26566314697266,Feb,62.01249694824219,25
Maize,North-East,Feb,101.28756713867188,Mar,47.19990921020508,Apr,43.8379020690918,25
Maize,North-West,Feb,96.6355972290039,Apr,43.85062789916992,Mar,43.28899002075195,25
Maize,South-East,Feb,96.9643783569336,Mar,51.407466888427734,Jan,36.55005645751953,25
Maize,South-South,Mar,59.343238830566406,Feb,58.41238784790039,Nov,29.468120574951172,25
Maize,South-West,Feb,86.82377624511719,May,36.55447006225586,Mar,35.88032150268555,25
Rice,North-Central,Mar,165.68222045898438,Feb,68.09455871582031,Apr,59.481109619140625,25
Rice,North-East,Feb,103.03274536132812,Mar,61.617794036865234,Apr,45.08775329589844,25
Rice,North-West,Feb,88.18595123291016,Mar,58.027748107910156,Apr,43.6293830871582,25
Rice,South-East,Feb,101.64950561523438,Jan,41.5955696105957,Mar,40.34995651245117,25
Rice,South-South,Feb,66.0008773803711,Mar,63.39088821411133,Nov,41.386810302734375,25
Rice,South-West,Feb,84.51992797851562,May,40.925052642822266,Apr,38.29793930053711,25
Yam,North-Central,Mar,176.698974609375,Feb,85.39653778076172,Apr,69.5915298461914,25
Yam,North-East,Feb,103.65050506591797,Apr,54.66939926147461,Mar,50.881813049316406,25
Yam,North-West,Feb,100.03733825683594,Mar,50.314205169677734,Apr,39.625667572021484,25
Yam,South-East,Feb,111.42218780517578,Jan,52.2311897277832,Mar,40.650535583496094,25
Yam,South-South,Mar,59.265541076660156,Feb,52.268558502197266,Nov,32.9920654296875,25
Yam,South-West,Feb,77.8204116821289,Mar,56.379905700683594,May,37.74436950683594,25
