Crop,Phenological_Stage,Months,N_Samples,MAE_Baseline,MAE_Ablated,MAE_Delta,R2_Baseline,R2_Ablated,R2_Delta,Importance_Score
Cassava,Planting,"[4, 5]",150,9825.419921875,9825.138671875,-0.28125,-4.0249528884887695,-4.024806499481201,-0.00014638900756835938,-0.14069819450378418
Cassava,Establishment,"[6, 7, 8]",150,9825.419921875,9825.2998046875,-0.1201171875,-4.0249528884887695,-4.0248823165893555,-7.05718994140625e-05,-0.06009387969970703
Cassava,Root_Development,"[9, 10, 11, 12]",150,9825.419921875,9825.41015625,-0.009765625,-4.0249528884887695,-4.0249762535095215,2.3365020751953125e-05,-0.0048711299896240234
Maize,Planting,"[4, 5]",150,1760.0152587890625,1759.7340087890625,-0.28125,-27.06731605529785,-27.058551788330078,-0.008764266967773438,-0.14500713348388672
Maize,Vegetative,"[6, 7]",150,1760.0152587890625,1759.9112548828125,-0.10400390625,-27.06731605529785,-27.064123153686523,-0.003192901611328125,-0.05359840393066406
Maize,Flowering,[8],150,1760.0152587890625,1759.97021484375,-0.0450439453125,-27.06731605529785,-27.0659236907959,-0.001392364501953125,-0.023218154907226562
Maize,Grain_Fill,[9],150,1760.0152587890625,1759.98193359375,-0.0333251953125,-27.06731605529785,-27.066280364990234,-0.0010356903076171875,-0.017180442810058594
Rice,Land_Prep,[5],150,1975.81982421875,1975.673095703125,-0.146728515625,-19.957889556884766,-19.955129623413086,-0.0027599334716796875,-0.07474422454833984
Rice,Vegetative,"[6, 7]",150,1975.81982421875,1975.7158203125,-0.10400390625,-19.957889556884766,-19.95596694946289,-0.001922607421875,-0.0529632568359375
Rice,Reproductive,"[8, 9]",150,1975.81982421875,1975.7191162109375,-0.1007080078125,-19.957889556884766,-19.955862045288086,-0.0020275115966796875,-0.051367759704589844
Rice,Ripening,"[10, 11]",150,1975.81982421875,1975.81787109375,-0.001953125,-19.957889556884766,-19.95789909362793,9.5367431640625e-06,-0.0009717941284179688
Yam,Planting,"[3, 4]",150,10358.1767578125,10357.8193359375,-0.357421875,-7.411505699157715,-7.411075592041016,-0.00043010711669921875,-0.1789259910583496
Yam,Vegetative,"[5, 6, 7]",150,10358.1767578125,10357.89453125,-0.2822265625,-7.411505699157715,-7.411163330078125,-0.00034236907958984375,-0.14128446578979492
Yam,Tuber_Bulking,"[8, 9, 10]",150,10358.1767578125,10358.1142578125,-0.0625,-7.411505699157715,-7.411469459533691,-3.62396240234375e-05,-0.03126811981201172
