Region,Feature,Feature_Label,Slope_per_year,25_year_change,R_squared,p_value,Significant,Direction
North-Central,PRECTOTCORR_m5,May Rainfall (mm/day),34.89580769230769,837.4993846153845,0.21153311817909035,0.020708874438939224,**,↑ INCREASING
North-Central,PRECTOTCORR_m6,June Rainfall (mm/day),25.101507692307695,602.4361846153847,0.08484488765357164,0.15774537966435215,,↑ INCREASING
North-Central,PRECTOTCORR_m7,July Rainfall (mm/day),7.774515384615385,186.58836923076925,0.010490304714791067,0.6261326639207536,,↑ INCREASING
North-Central,PRECTOTCORR_m8,August Rainfall (mm/day),19.68943846153846,472.5465230769231,0.05360305973259021,0.26546545347840445,,↑ INCREASING
North-Central,T2M_m7,July Temperature (°C),0.0071380007089684346,0.17131201701524243,0.012565072860456307,0.5937135221152456,,↑ INCREASING
North-Central,T2M_m8,August Temperature (°C),-0.0012973768167316145,-0.031137043601558747,0.0006349327798738602,0.9048334550139903,,↓ DECREASING
North-Central,RH2M_m6,June Humidity (%),0.0984214652014652,2.362115164835165,0.06163445336792588,0.2314587358172432,,↑ INCREASING
North-Central,RH2M_m7,July Humidity (%),0.09628794753633459,2.31091074087203,0.08946772426986183,0.14636617401264082,,↑ INCREASING
North-East,PRECTOTCORR_m5,May Rainfall (mm/day),24.456038461538466,586.9449230769231,0.2319377054221164,0.01478625013585272,**,↑ INCREASING
North-East,PRECTOTCORR_m6,June Rainfall (mm/day),19.540853846153848,468.9804923076923,0.1681329948807183,0.041775122420288115,**,↑ INCREASING
North-East,PRECTOTCORR_m7,July Rainfall (mm/day),14.478569230769228,347.4856615384615,0.05452217516082354,0.261291570730931,,↑ INCREASING
North-East,PRECTOTCORR_m8,August Rainfall (mm/day),8.921169230769225,214.1080615384614,0.06548444075360621,0.21695118803094623,,↑ INCREASING
North-East,T2M_m7,July Temperature (°C),-0.015647353184449993,-0.3755364764267998,0.01245137795395163,0.5953993024782742,,↓ DECREASING
North-East,T2M_m8,August Temperature (°C),-0.014041232423490453,-0.3369895781637709,0.025112024180283663,0.4493051838039568,,↓ DECREASING
North-East,RH2M_m6,June Humidity (%),0.3003415811965814,7.208197948717953,0.1877361023725784,0.030491296739743316,**,↑ INCREASING
North-East,RH2M_m7,July Humidity (%),0.21923010752688155,5.261522580645157,0.07493963573636936,0.18545598955992126,,↑ INCREASING
North-West,PRECTOTCORR_m5,May Rainfall (mm/day),28.251976923076924,678.0474461538462,0.2733646449050278,0.007327232119123774,***,↑ INCREASING
North-West,PRECTOTCORR_m6,June Rainfall (mm/day),25.453107692307693,610.8745846153846,0.14986329461061543,0.055899302108796775,*,↑ INCREASING
North-West,PRECTOTCORR_m7,July Rainfall (mm/day),38.28158461538462,918.7580307692308,0.12274146795517363,0.08598949954371633,*,↑ INCREASING
North-West,PRECTOTCORR_m8,August Rainfall (mm/day),31.285646153846148,750.8555076923076,0.17105100810614507,0.039869493913848,**,↑ INCREASING
North-West,T2M_m7,July Temperature (°C),-0.017334136830911007,-0.41601928394186416,0.019826476058038438,0.5020002923160587,,↓ DECREASING
North-West,T2M_m8,August Temperature (°C),-0.024843140730237526,-0.5962353775257007,0.1063278506139269,0.11166366974862545,,↓ DECREASING
North-West,RH2M_m6,June Humidity (%),0.26877322344322335,6.45055736263736,0.12507927382261122,0.08285551821907522,*,↑ INCREASING
North-West,RH2M_m7,July Humidity (%),0.26183676001417944,6.2840822403403065,0.12792318310349707,0.07919774077698985,*,↑ INCREASING
South-East,PRECTOTCORR_m5,May Rainfall (mm/day),-12.651553846153847,-303.63729230769235,0.12482793346479885,0.08318685478888,*,↓ DECREASING
South-East,PRECTOTCORR_m6,June Rainfall (mm/day),-12.752861538461547,-306.06867692307713,0.01621751735061516,0.5441034508884544,,↓ DECREASING
South-East,PRECTOTCORR_m7,July Rainfall (mm/day),-3.0705999999999993,-73.69439999999999,0.0013506362687219975,0.8615464431801411,,↓ DECREASING
South-East,PRECTOTCORR_m8,August Rainfall (mm/day),6.779469230769232,162.70726153846158,0.008245240284989064,0.6659839963365762,,↑ INCREASING
South-East,T2M_m7,July Temperature (°C),0.03076193548387097,0.7382864516129033,0.4378066082524987,0.00031569362958719393,***,↑ INCREASING
South-East,T2M_m8,August Temperature (°C),0.021930173697270402,0.5263241687344896,0.26794147808145874,0.008045098540823787,***,↑ INCREASING
South-East,RH2M_m6,June Humidity (%),-0.05108364102564121,-1.226007384615389,0.24885831620495807,0.011135185585041783,**,↓ DECREASING
South-East,RH2M_m7,July Humidity (%),-0.033662084367245625,-0.8078900248138949,0.06369366127589166,0.2235668054472514,,↓ DECREASING
South-South,PRECTOTCORR_m5,May Rainfall (mm/day),0.2822846153846142,6.774830769230741,3.6282581411132024e-05,0.9772029415893217,,↑ INCREASING
South-South,PRECTOTCORR_m6,June Rainfall (mm/day),4.7844461538461545,114.8267076923077,0.001378231376286105,0.860152676123521,,↑ INCREASING
South-South,PRECTOTCORR_m7,July Rainfall (mm/day),3.403053846153853,81.67329230769248,0.0008657834619579252,0.8889612024550914,,↑ INCREASING
South-South,PRECTOTCORR_m8,August Rainfall (mm/day),7.3810461538461505,177.14510769230762,0.0038515339443014334,0.7682220593041548,,↑ INCREASING
South-South,T2M_m7,July Temperature (°C),0.026860421836228242,0.6446501240694777,0.4164076750585323,0.0004955194045687706,***,↑ INCREASING
South-South,T2M_m8,August Temperature (°C),0.022156079404466452,0.5317459057071948,0.30228977248401834,0.004411198223640836,***,↑ INCREASING
South-South,RH2M_m6,June Humidity (%),-0.015700982905982944,-0.37682358974359065,0.02834027442174341,0.42116568947264355,,↓ DECREASING
South-South,RH2M_m7,July Humidity (%),0.008188916459884451,0.19653399503722682,0.004747462125618532,0.7434706615599489,,↑ INCREASING
South-West,PRECTOTCORR_m5,May Rainfall (mm/day),7.478230769230771,179.4775384615385,0.03204232774005496,0.391918772740652,,↑ INCREASING
South-West,PRECTOTCORR_m6,June Rainfall (mm/day),26.38927692307692,633.3426461538461,0.22746494141602056,0.015926651394056728,**,↑ INCREASING
South-West,PRECTOTCORR_m7,July Rainfall (mm/day),6.145038461538462,147.4809230769231,0.01325253001175415,0.5837214534697345,,↑ INCREASING
South-West,PRECTOTCORR_m8,August Rainfall (mm/day),20.41557692307693,489.97384615384635,0.07585573780532222,0.18268360778036652,,↑ INCREASING
South-West,T2M_m7,July Temperature (°C),0.023201406120761,0.556833746898264,0.2578215282968418,0.009565490680508522,***,↑ INCREASING
South-West,T2M_m8,August Temperature (°C),0.018931968569065344,0.45436724565756825,0.1923199993340952,0.028314051816921527,**,↑ INCREASING
South-West,RH2M_m6,June Humidity (%),0.0280052991452992,0.6721271794871808,0.09147623152267705,0.14169673264990293,,↑ INCREASING
South-West,RH2M_m7,July Humidity (%),0.03611075268817211,0.8666580645161307,0.10579032301605337,0.11262622535927874,,↑ INCREASING
