Crop,Region,Top_Month_1,Top_Month_1_SHAP,Top_Month_2,Top_Month_2_SHAP,Top_Month_3,Top_Month_3_SHAP,Sample_Size
Cassava,North-Central,Mar,115.49728,Feb,78.542946,Jun,74.37973,25
Cassava,North-East,Feb,100.630005,Mar,47.14952,Jan,43.497364,25
Cassava,North-West,Feb,86.18648,Mar,43.49054,Apr,42.270584,25
Cassava,South-East,Feb,112.87523,Jan,57.922955,Mar,51.2235,25
Cassava,South-South,Mar,69.681206,Feb,48.290157,Apr,27.02473,25
Cassava,South-West,Feb,75.0461,Mar,50.470516,May,45.16711,25
Maize,North-Central,Mar,138.96808,Apr,68.26566,Feb,62.012497,25
Maize,North-East,Feb,101.28757,Mar,47.19991,Apr,43.837902,25
Maize,North-West,Feb,96.6356,Apr,43.850628,Mar,43.28899,25
Maize,South-East,Feb,96.96438,Mar,51.407467,Jan,36.550056,25
Maize,South-South,Mar,59.34324,Feb,58.412388,Nov,29.46812,25
Maize,South-West,Feb,86.82378,May,36.55447,Mar,35.88032,25
Rice,North-Central,Mar,165.68222,Feb,68.09456,Apr,59.48111,25
Rice,North-East,Feb,103.032745,Mar,61.617794,Apr,45.087753,25
Rice,North-West,Feb,88.18595,Mar,58.02775,Apr,43.629383,25
Rice,South-East,Feb,101.649506,Jan,41.59557,Mar,40.349957,25
Rice,South-South,Feb,66.00088,Mar,63.39089,Nov,41.38681,25
Rice,South-West,Feb,84.51993,May,40.925053,Apr,38.29794,25
Yam,North-Central,Mar,176.69897,Feb,85.39654,Apr,69.59153,25
Yam,North-East,Feb,103.650505,Apr,54.6694,Mar,50.881813,25
Yam,North-West,Feb,100.03734,Mar,50.314205,Apr,39.625668,25
Yam,South-East,Feb,111.42219,Jan,52.23119,Mar,40.650536,25
Yam,South-South,Mar,59.26554,Feb,52.26856,Nov,32.992065,25
Yam,South-West,Feb,77.82041,Mar,56.379906,May,37.74437,25
