Sample_ID,Crop,Region,Baseline_Yield_kg_ha,Target_Yield_kg_ha,June_Rainfall_Current_mm,June_Rainfall_Target_mm,June_Rainfall_Needed_Delta_mm,Yield_Increase_Target_Pct
1,Maize,North-Central,0.8959178,0.9855096,-0.10514086,65.625,65.73014068603516,10.0
5,Maize,North-East,-0.8382901,-0.92211914,-0.6822525,3.125,3.8072524070739746,10.0
6,Rice,North-East,-0.8382901,-0.92211914,-0.6822525,3.125,3.8072524070739746,10.0
9,Maize,North-West,-0.65289414,-0.7181836,-0.5248819,3.125,3.6498818397521973,10.0
10,Rice,North-West,-0.65289414,-0.7181836,-0.5248819,3.125,3.6498818397521973,10.0
17,Maize,South-South,0.49890244,0.5487927,0.52529037,15.625,15.099709510803223,10.0
18,Rice,South-South,0.49890244,0.5487927,0.52529037,15.625,15.099709510803223,10.0
21,Maize,South-West,0.71289396,0.7841834,0.6830269,28.125,27.441972732543945,10.0
22,Rice,South-West,0.71289396,0.7841834,0.6830269,28.125,27.441972732543945,10.0
25,Maize,North-Central,1.1730253,1.2903278,2.964834,78.125,75.16016387939453,10.0
29,Maize,North-East,-0.87007684,-0.95708454,0.47907102,3.125,2.6459288597106934,10.0
30,Rice,North-East,-0.87007684,-0.95708454,0.47907102,3.125,2.6459288597106934,10.0
33,Maize,North-West,-0.88933873,-0.9782726,0.7629182,15.625,14.862081527709961,10.0
34,Rice,North-West,-0.88933873,-0.9782726,0.7629182,15.625,14.862081527709961,10.0
41,Maize,South-South,0.08933294,0.09826624,5.738265,9.375,3.636734962463379,10.0
45,Maize,South-West,0.75016266,0.8251789,0.8696929,34.375,33.505306243896484,10.0
46,Rice,South-West,0.75016266,0.8251789,0.8696929,34.375,33.505306243896484,10.0
49,Maize,North-Central,0.79222286,0.8714452,0.5312524,59.375,58.843746185302734,10.0
53,Maize,North-East,-0.82799524,-0.9107948,-0.09576422,9.375,9.47076416015625,10.0
54,Rice,North-East,-0.82799524,-0.9107948,-0.09576422,9.375,9.47076416015625,10.0
