Month,Correlation,Crop,Feature
1,0.13006138131808714,Cassava,PRECTOTCORR
2,0.2303191562516029,Cassava,PRECTOTCORR
3,0.01277520855335635,Cassava,PRECTOTCORR
4,0.15680698517673616,Cassava,PRECTOTCORR
5,0.18015278160187848,Cassava,PRECTOTCORR
6,0.08546295417456855,Cassava,PRECTOTCORR
7,-0.038934521766471455,Cassava,PRECTOTCORR
8,-0.06411932773942607,Cassava,PRECTOTCORR
9,0.16415936807600695,Cassava,PRECTOTCORR
10,0.3010191351155456,Cassava,PRECTOTCORR
11,0.07334697456332902,Cassava,PRECTOTCORR
12,0.0814657489105176,Cassava,PRECTOTCORR
1,0.16763658843856843,Cassava,T2M
2,0.053755836250594054,Cassava,T2M
3,-0.4672173829780099,Cassava,T2M
4,-0.5254911258792446,Cassava,T2M
5,-0.5520617043375737,Cassava,T2M
6,-0.5310602607720607,Cassava,T2M
7,-0.5084687884030825,Cassava,T2M
8,-0.4970845065108772,Cassava,T2M
9,-0.5373180940482263,Cassava,T2M
10,-0.48310592077965203,Cassava,T2M
11,-0.07238043098787743,Cassava,T2M
12,0.13830422479333077,Cassava,T2M
1,0.4498720648144542,Cassava,RH2M
2,0.5077603841622482,Cassava,RH2M
3,0.44752822833033884,Cassava,RH2M
4,0.4819390602012122,Cassava,RH2M
5,0.4916724464264489,Cassava,RH2M
6,0.47981551226442487,Cassava,RH2M
7,0.44298938345398947,Cassava,RH2M
8,0.40989057657845507,Cassava,RH2M
9,0.44106187030403954,Cassava,RH2M
10,0.4811487564127254,Cassava,RH2M
11,0.45250116868888357,Cassava,RH2M
12,0.43436407069754496,Cassava,RH2M
