Sample_ID,Crop,Region,Rank,Feature,LIME_Weight
377,Maize,South-South,1,0.92 < T2M_MIN_May <= 1.23,-1255.1794481654829
377,Maize,South-South,2,-0.72 < TS_Aug <= -0.55,-1000.1702116153319
377,Maize,South-South,3,T2MDEW_Dec > 0.19,822.283298344241
377,Maize,South-South,4,T2M_MIN_Sep > 0.35,-711.0013813239666
377,Maize,South-South,5,T2MDEW_Jan > 0.24,709.1006668143941
377,Maize,South-South,6,QV2M_Jan > 0.09,613.5828879637405
377,Maize,South-South,7,T2MDEW_Mar > 0.73,368.57932582824225
377,Maize,South-South,8,0.33 < T2M_MIN_Jul <= 0.44,-291.1323728051556
63,Yam,South-East,1,T2MDEW_Dec > 0.19,795.7832618924319
63,Yam,South-East,2,-2.21 < QV2M_Jan <= -0.69,-783.2866589750366
63,Yam,South-East,3,0.29 < T2MWET_Aug <= 0.38,694.5995825818001
63,Yam,South-East,4,PRECTOTCORR_Jul <= 0.33,-659.5165799289197
63,Yam,South-East,5,0.09 < T2M_May <= 0.32,577.2067581971422
63,Yam,South-East,6,-0.93 < PRECTOTCORR_Feb <= -0.72,549.0672349666366
63,Yam,South-East,7,T2M_MAX_Jul <= -1.10,424.4006339631642
63,Yam,South-East,8,0.51 < QV2M_Aug <= 0.57,302.4891129429569
77,Maize,North-East,1,RH2M_May <= -0.70,-1395.2190259247625
77,Maize,North-East,2,-0.01 < T2MWET_Apr <= 0.66,960.65115154966
77,Maize,North-East,3,T2M_MAX_Jun > 0.79,-735.9236592163807
77,Maize,North-East,4,QV2M_Oct <= -0.02,-698.2291163247686
77,Maize,North-East,5,PRECTOTCORR_Feb <= -0.98,-606.9886102559605
77,Maize,North-East,6,T2MDEW_Dec <= -1.97,-515.4401949374424
77,Maize,North-East,7,T2MDEW_Feb <= -2.46,-423.3964109331916
77,Maize,North-East,8,0.59 < T2MWET_Jun <= 0.66,-68.21957859955245
30,Rice,North-East,1,RH2M_May <= -0.70,-1187.3191193867526
30,Rice,North-East,2,RH2M_Feb <= -2.24,-779.7932267819787
30,Rice,North-East,3,PRECTOTCORR_Feb <= -0.98,-732.9697346028115
30,Rice,North-East,4,-1.74 < RH2M_Dec <= -0.06,-702.9374661643848
30,Rice,North-East,5,T2MDEW_Feb <= -2.46,-638.4570173343858
30,Rice,North-East,6,T2M_May > 2.35,-517.4948023646082
30,Rice,North-East,7,QV2M_Jan <= -2.21,-449.48607423890184
30,Rice,North-East,8,T2M_MIN_Feb <= -1.24,325.13446419171146
8,Cassava,North-West,1,RH2M_May <= -0.70,-1140.845418931925
8,Cassava,North-West,2,T2MDEW_Dec <= -1.97,-862.8912194645884
8,Cassava,North-West,3,T2M_MAX_Jun > 0.79,-728.7139578118437
8,Cassava,North-West,4,0.92 < T2M_MIN_May <= 1.23,-726.4263377846295
8,Cassava,North-West,5,0.36 < T2MWET_Sep <= 0.45,-701.1773137525256
8,Cassava,North-West,6,0.61 < T2M_Apr <= 2.65,574.2144007170657
8,Cassava,North-West,7,-0.23 < T2M_MAX_Dec <= 0.44,379.53309999939194
8,Cassava,North-West,8,T2M_MIN_Feb <= -1.24,167.04746439326223
55,Yam,North-East,1,RH2M_Feb <= -2.24,-1036.4456075903665
55,Yam,North-East,2,T2MDEW_Dec <= -1.97,-972.7118434708566
55,Yam,North-East,3,-0.36 < T2M_Nov <= -0.17,-840.2344952530395
55,Yam,North-East,4,QV2M_Oct <= -0.02,-836.9217184876644
55,Yam,North-East,5,0.61 < T2M_Apr <= 2.65,713.2207537422289
55,Yam,North-East,6,T2M_MAX_Oct > 0.54,-551.7354802611638
55,Yam,North-East,7,T2MDEW_Jul <= 0.39,415.45871890534346
55,Yam,North-East,8,-0.01 < T2MWET_Apr <= 0.66,298.70218556711626
398,Rice,South-East,1,0.79 < RH2M_Jun <= 0.87,1129.189437086248
398,Rice,South-East,2,-0.44 < TS_Sep <= -0.09,1059.2659009813797
398,Rice,South-East,3,0.73 < T2M_MIN_May <= 0.92,1006.4155352030758
398,Rice,South-East,4,T2MWET_Jul > 0.51,687.6663528599254
398,Rice,South-East,5,T2MWET_Sep > 0.52,495.5015945057715
398,Rice,South-East,6,T2MWET_Aug > 0.44,-429.3061049809328
398,Rice,South-East,7,PRECTOTCORR_Nov > -0.36,-295.00154585454834
398,Rice,South-East,8,0.66 < T2MWET_Apr <= 0.84,-279.47060967470156
332,Cassava,South-West,1,-1.19 < T2M_MIN_Jan <= -0.29,1028.9832010803705
332,Cassava,South-West,2,T2M_MAX_Oct <= -0.91,984.7314448668365
332,Cassava,South-West,3,0.66 < RH2M_May <= 0.81,734.2302971549474
332,Cassava,South-West,4,-0.06 < RH2M_Dec <= 0.26,712.8873051930976
332,Cassava,South-West,5,RH2M_Nov > 0.72,712.5726684239369
332,Cassava,South-West,6,0.05 < T2MDEW_May <= 0.66,-709.0050783339863
332,Cassava,South-West,7,T2M_Jul <= -0.66,513.1600783368792
332,Cassava,South-West,8,0.66 < T2MDEW_Apr <= 0.78,-263.9458189454847
43,Yam,South-South,1,0.73 < T2M_MIN_May <= 0.92,1164.5002238370491
43,Yam,South-South,2,T2MDEW_Dec > 0.19,680.9882664643286
43,Yam,South-South,3,PRECTOTCORR_Nov > -0.36,-680.7412345258189
43,Yam,South-South,4,-0.03 < T2MDEW_Feb <= 0.52,594.1885161802438
43,Yam,South-South,5,TS_Sep <= -0.60,-534.7865992549913
43,Yam,South-South,6,RH2M_Jul > 0.88,-531.6133790743615
43,Yam,South-South,7,0.66 < T2M_MIN_Mar <= 0.79,466.5879752945034
43,Yam,South-South,8,0.61 < RH2M_Apr <= 0.76,-413.4299491430578
460,Cassava,North-East,1,T2M_Apr > 2.65,-1085.1721550244736
460,Cassava,North-East,2,RH2M_Jun <= -0.20,-911.2290243386142
460,Cassava,North-East,3,T2M_MAX_Jun > 0.79,-873.0490087309564
460,Cassava,North-East,4,TS_Apr > 2.63,-806.9074556680404
460,Cassava,North-East,5,PRECTOTCORR_Jul <= 0.33,-715.6726945544726
460,Cassava,North-East,6,T2M_Feb > 0.41,290.48431380842675
460,Cassava,North-East,7,0.18 < T2MWET_Oct <= 0.46,-194.87038049535283
460,Cassava,North-East,8,-0.60 < T2M_Aug <= -0.30,97.49183410573221
