Month,Method,Importance,Unit,Importance_Normalized
May,SHAP,15.411181449890137,kg/ha,0.0
Jun,SHAP,45.65615463256836,kg/ha,1.0
Jul,SHAP,36.11082458496094,kg/ha,0.6843994540860038
Aug,SHAP,41.88352966308594,kg/ha,0.8752643969397511
May,ALE,0.039048030972480774,kg/ha,0.0
Jun,ALE,0.039048030972480774,kg/ha,0.0
Jul,ALE,0.039048030972480774,kg/ha,0.0
Aug,ALE,0.039048030972480774,kg/ha,0.0
May,Ablation,6.710981748688864,MAE_kg_ha,1.0
Jun,Ablation,4.167475220873532,MAE_kg_ha,0.5559557755201872
Jul,Ablation,0.9829339831876038,MAE_kg_ha,0.0
Aug,Ablation,2.8417853608101415,MAE_kg_ha,0.32451743660693266
