Crop,Phenological_Stage,Months,N_Months,Mean_SHAP_Precip,Mean_SHAP_Temp,Sample_Count
Maize,Planting,"[4, 5]",2,23.925670623779297,76.17717742919922,150
Maize,Vegetative,"[6, 7]",2,45.95756530761719,22.341590881347656,150
Maize,Flowering,[8],1,42.675106048583984,9.1893892288208,150
Maize,Grain_Fill,[9],1,31.316282272338867,9.804866790771484,150
Rice,Land_Prep,[5],1,12.476489067077637,55.7109260559082,150
Rice,Vegetative,"[6, 7]",2,43.76359558105469,21.724477767944336,150
Rice,Reproductive,"[8, 9]",2,28.87356185913086,12.127333641052246,150
Rice,Ripening,"[10, 11]",2,25.98935890197754,10.40538215637207,150
Yam,Planting,"[3, 4]",2,72.7883071899414,64.04329681396484,150
Yam,Vegetative,"[5, 6, 7]",3,29.157672882080078,30.473012924194336,150
Yam,Tuber_Bulking,"[8, 9, 10]",3,37.41484832763672,7.742828845977783,150
Cassava,Planting,"[4, 5]",2,32.16123962402344,67.34098815917969,150
Cassava,Establishment,"[6, 7, 8]",3,37.8436279296875,24.616601943969727,150
Cassava,Root_Development,"[9, 10, 11, 12]",4,18.148475646972656,16.268821716308594,150
