Month,Mean_Rainfall,Std_Rainfall,Spearman_Yield_Corr,Pearson_Yield_Corr
1,64.1862,115.24567145396304,0.10444299146232491,0.02409929066085573
2,108.84313333333333,165.72751344713734,0.12858751578466412,0.03656055241366817
3,275.86833333333334,293.287115975485,0.0930153913019958,0.010024006514620496
4,584.2056666666667,498.0579820144459,0.11247221273595749,0.05276665232525291
5,844.1977333333333,467.0870408547207,0.11703220935575483,0.05878839357913563
6,1216.7719333333334,744.0378675947575,0.06714358628177791,0.021789967148937328
7,1389.2084666666667,694.664979407826,-0.008295195975802742,-0.013074632635828013
8,1447.6296,661.0736931624889,-0.02881645857285694,-0.01666756148253541
9,1457.8563333333334,672.3447529493974,0.0913459358453095,0.036430992714925066
10,904.6555333333334,648.3100480011711,0.11460959656544704,0.06023988032875028
11,294.98453333333333,372.9571403208542,0.09977991190964898,0.015290680758073624
12,68.68360000000001,145.52595258979963,0.09999246327031883,0.02159766560741552
