PRECTOTCORR_MayAug,Yield_kg_per_ha
626.1275,11208.13672867418
626.1275,1692.7758423471917
626.1275,2058.216031386133
626.1275,12597.282695684202
586.1175000000001,6888.902978430184
586.1175000000001,1306.5921079579932
586.1175000000001,1639.8764774429164
586.1175000000001,10221.20763638733
669.505,5855.849651493266
669.505,1168.754556813829
669.505,1342.7229113543551
669.505,8260.920659007708
628.2524999999999,14023.326572415584
628.2524999999999,2026.4320420442868
628.2524999999999,1901.3283560023656
628.2524999999999,13608.77289165224
1024.5425,11350.772249208369
1024.5425,1475.5977926654668
1024.5425,1744.643768848524
1024.5425,8836.51922272889
1081.6625,12821.062782211937
1081.6625,1589.7770639444698
1081.6625,1454.9012266438456
1081.6625,12233.31555060465
2078.935,11632.5350037709
2078.935,1656.765231666677
2078.935,2160.842226227124
2078.935,12360.069310186344
987.8475,6458.889810181113
987.8475,1289.5687974150812
987.8475,1746.6072754736545
987.8475,9871.713286713288
1153.1825,5928.376485611764
1153.1825,1122.7687879230748
1153.1825,1368.9355284160822
1153.1825,8448.674242424242
2410.9025,13666.010353544983
2410.9025,1945.003558634616
2410.9025,1926.7409325069957
2410.9025,13051.345367491478
2960.2799999999997,11129.574584003374
2960.2799999999997,1477.4192168704967
2960.2799999999997,1870.58097384518
2960.2799999999997,8672.18479850632
1145.0249999999999,13044.055315543485
1145.0249999999999,1610.6608099249293
1145.0249999999999,1498.4332991569834
1145.0249999999999,11497.845035314982
1076.6275,11656.63695331154
1076.6275,1620.4261754860297
1076.6275,2061.125088994744
1076.6275,12744.087950108418
809.21,6149.721743274026
809.21,1288.3462163808254
809.21,1626.0000912732478
809.21,9498.366301660191
1087.68,5865.304224299826
1087.68,1144.6083526977643
1087.68,1468.133986963926
1087.68,8973.630831643002
1087.3975,13586.623639925185
1087.3975,1917.0673118176123
1087.3975,1902.7499817679227
1087.3975,13241.232009917416
1792.1174999999998,11543.35252666341
1792.1174999999998,1519.686108501253
1792.1174999999998,1835.2172385910828
1792.1174999999998,8896.088821069063
990.9324999999999,13502.080170443767
990.9324999999999,1811.1006199634423
990.9324999999999,1506.2969191018988
990.9324999999999,11346.294528469494
1170.6075,11887.70472315434
