Fold,Sample_Index,Crop,Region,Year,Yield_True,Yield_Primary,Yield_Ensemble,Yield_Std,Yield_CI_Low,Yield_CI_High,Crop_Baseline,Yield_TCN_MLP_ENSEMBLE_best_fold.keras,Yield_Fold_1,Yield_Fold_2,Yield_Fold_3,Yield_Fold_4,Yield_Fold_5,Stress_Scenario
1,548,Cassava,South-West,2021,9762.387,7626.9297,8972.821,1180.4371,6659.1646,11286.479,9755.784,7626.9297,9707.718,7446.7075,7626.9297,10080.269,10002.481,Rainfall -15%
4,300,Cassava,South-East,2011,14773.965,14375.071,14369.787,419.79315,13546.992,15192.582,9740.737,14375.071,13982.34,14184.283,14375.071,14136.194,15171.043,Rainfall -15%
5,404,Cassava,South-West,2015,12650.301,10658.995,10830.102,1212.059,8454.466,13205.737,9860.243,10658.995,10857.177,12659.718,10658.995,11115.877,8858.741,Rainfall -15%
1,377,Maize,South-South,2014,1229.0339,1632.1914,1663.2253,44.71904,1575.576,1750.8746,1778.2539,1632.1914,1656.5007,1742.1526,1632.1914,1673.5739,1611.708,Rainfall -15%
2,302,Rice,South-East,2011,2191.7048,2132.946,2237.1592,60.21576,2119.1362,2355.1821,1992.1147,2132.946,2228.8486,2230.5935,2132.946,2290.958,2302.4495,Rainfall -15%
3,227,Yam,North-West,2008,7744.4814,7454.9927,8288.482,489.30286,7329.4487,9247.516,10551.121,7454.9927,8732.227,8813.817,7454.9927,8119.9326,8321.446,Rainfall -15%
1,53,Maize,North-East,2001,1288.3462,1468.2454,1456.2006,50.46545,1357.2883,1555.1128,1778.2539,1468.2454,1530.4575,1482.719,1468.2454,1397.8899,1401.6912,Rainfall -15%
4,570,Rice,South-South,2022,1972.2635,1728.3339,1816.7552,66.70413,1686.0151,1947.4954,1971.9572,1728.3339,1780.1208,1921.2181,1728.3339,1795.7291,1858.3749,Rainfall -15%
1,389,Maize,North-East,2015,1577.0712,2033.1392,1717.0803,172.36835,1379.2383,2054.9224,1778.2539,2033.1392,1742.9761,1679.4847,2033.1392,1553.5034,1576.2981,Rainfall -15%
3,513,Maize,North-West,2020,2158.045,2011.1509,1830.3483,95.35605,1643.4504,2017.2461,1747.8297,2011.1509,1817.621,1814.9803,2011.1509,1735.0693,1772.9196,Rainfall -15%
1,289,Maize,North-Central,2011,1573.2408,2448.598,2365.8574,98.51255,2172.7727,2558.9421,1778.2539,2448.598,2509.1064,2262.341,2448.598,2342.9736,2266.268,Rainfall -15%
1,588,Cassava,South-East,2023,7980.6895,7441.8945,7763.5923,768.22815,6257.865,9269.319,9755.784,7441.8945,8830.324,7066.6045,7441.8945,6957.7373,8521.399,Rainfall -15%
1,547,Yam,South-South,2021,6533.3584,7753.209,7992.376,962.7328,6105.42,9879.332,10406.571,7753.209,8961.49,6611.8037,7753.209,7445.8345,9189.54,Rainfall -15%
5,551,Yam,South-West,2021,7926.157,8168.935,8616.466,695.48016,7253.3247,9979.607,10204.408,8168.935,8357.034,7809.421,8168.935,8953.084,9793.854,Rainfall -15%
4,24,Cassava,North-Central,2000,11632.535,15040.914,12257.168,1858.371,8614.761,15899.575,9740.737,15040.914,9841.258,13535.009,15040.914,12023.759,10844.903,Rainfall -15%
2,582,Rice,North-East,2023,1714.9388,2119.085,1926.6191,132.89775,1666.1395,2187.0986,1992.1147,2119.085,1979.7273,1917.5435,2119.085,1707.3813,1909.3591,Rainfall -15%
1,163,Yam,South-South,2005,8682.182,9979.566,9907.376,508.91495,8909.902,10904.85,10406.571,9979.566,9122.671,10605.791,9979.566,10219.4795,9609.372,Rainfall -15%
2,471,Yam,South-East,2018,8300.723,8505.826,9568.809,625.8922,8342.06,10795.558,10406.766,8505.826,9217.283,10196.154,8505.826,9992.613,9932.169,Rainfall -15%
2,313,Maize,North-Central,2012,1553.7526,2612.8826,2343.1191,176.59344,1996.996,2689.2422,1778.9865,2612.8826,2132.6326,2478.781,2612.8826,2272.524,2218.775,Rainfall -15%
1,428,Cassava,South-West,2016,8949.641,8431.758,8513.297,1063.0126,6429.792,10596.802,9755.784,8431.758,8124.4253,6808.978,8431.758,9934.339,9266.985,Rainfall -15%
