Crop,Region,Vulnerability_Score,Dominant_Stressor,Primary_Action_1,Primary_Action_2,Primary_Action_3,Early_Warning_System
Cassava,North Central,0.4932960536199784,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Cassava,North East,0.5516271739808859,Heat Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Cassava,North West,0.4968514912500562,Heat Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Cassava,South East,0.4912355334345072,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Cassava,South South,0.49724529377361404,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Cassava,South West,0.43950783232055507,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,RECOMMENDED
Yams,North Central,0.4641349677461988,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Yams,North East,0.5197707779097338,Heat Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Yams,North West,0.4863041712123716,Heat Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Yams,South East,0.4945768556153122,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Yams,South South,0.4829608282327139,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,YES
Yams,South West,0.457281731490165,Cold Stress,Diversify crop varieties within region,TCN-MLP early warning system: Deploy for seasonal forecasts,N/A,RECOMMENDED
