Feature,Importance
Is_Rainy_Season,0.9171985450485777
GDD,0.893011734553509
Is_Peak_Growing,0.5295448268841295
Soil_Moisture_m3m3,0.42841425538481126
SoilMoisture_Temp_Interaction,0.4217001074644486
Temperature_C,0.22334147604097634
SoilMoisture_Rainfall_Interaction,0.21741725521723335
Cold_Stress,0.20502988597439117
Heat_Stress,0.20099036655188912
Days_Into_Season,0.16213932772457096
Cumulative_Rainfall,0.1225365998679735
Rainfall_mm,0.10189926709595142
Flood_Risk,0.056970661819073065
Soil_Moisture_GrowSeason,0.04688531850482462
Rainfall_Anomaly,0.039340949122438594
Soil_Moisture_Annual_Mean,0.03873397970803707
Humidity_percent,0.0348889394165863
Soil_Moisture_DrySeason,0.032487307054196946
Soil_Moisture_Anomaly,0.0270728178234919
Drought_Risk,0.011114369547086916
